,Country Name,Happiness Rank 2015,Happiness Rank 2016,Happiness Score 2015,Happiness Score 2016,GDP 2015,GDP 2016,Population 2015,Population 2016,GDI 2015,GDI 2016,GDP Per capita 2015,GDP per capita 2016,CPI 2015,CPI 2016
55,Zambia,85,106,5.129,4.795,21154394546.0,21063989683.0,16100587.0,16591390.0,1313.8896455141667,1269.5735368163848,1313.8896455141667,1269.5735368163848,155.8175,183.662025
56,Portugal,88,94,5.102,5.122999999999999,199000000000.0,205000000000.0,10358076.0,10325452.0,19212.06216289589,19853.852402781013,19212.06216289589,19853.852402781013,100.4834167,101.09375
57,Latvia,89,68,5.098,5.56,26972863394.0,27572698482.0,1977527.0,1959537.0,13639.694119979145,14071.027228370784,13639.694119979145,14071.027228370784,107.544875,107.6961
58,Philippines,90,82,5.073,5.279,293000000000.0,305000000000.0,101716359.0,103320222.0,2880.559261858754,2951.987462822138,2880.559261858754,2951.987462822138,141.5083333,144.0333333
59,Morocco,92,90,5.013,5.151,101000000000.0,104000000000.0,34803322.0,35276786.0,2902.021824238502,2948.114377539949,2902.021824238502,2948.114377539949,115.16666670000001,117.05
60,Bosnia and Herzegovina,96,87,4.949,5.162999999999999,16209702864.0,16910277134.0,3535961.0,3516816.0,4584.24254792403,4808.405425248293,4584.24254792403,4808.405425248293,103.6805833,102.5513667
61,Dominican Republic,98,89,4.885,5.155,68102618092.0,71583553488.0,10528394.0,10648791.0,6468.4716483824595,6722.223535798571,6468.4716483824595,6722.223535798571,119.2275,121.12916670000001
62,Mongolia,100,101,4.874,4.907,11749620620.0,11183458131.0,2976877.0,3027398.0,3946.9620746843084,3694.082552409693,3946.9620746843084,3694.082552409693,100.0916667,100.04166670000001
63,Greece,102,99,4.857,5.033,196000000000.0,193000000000.0,10820883.0,10770521.0,18113.12440953294,17919.281713484426,18113.12440953294,17919.281713484426,105.520675,104.6494417
64,Hungary,104,91,4.8,5.145,123000000000.0,126000000000.0,9843028.0,9814023.0,12496.154638592921,12838.771623013316,12496.154638592921,12838.771623013316,135.1,135.6333333
65,Honduras,105,104,4.788,4.871,20844284855.0,21516938910.0,8960829.0,9112867.0,2326.1558562271416,2361.1602045766717,2326.1558562271416,2361.1602045766717,284.75,292.5083333
66,Tunisia,107,98,4.739,5.045,43156708809.0,42062549395.0,11273661.0,11403248.0,3828.1006328822555,3688.646374699559,3828.1006328822555,3688.646374699559,126.65,131.35
67,Ukraine,111,123,4.681,4.324,91030959455.0,93270479389.0,45154029.0,45004645.0,2016.0096777853423,2072.4633954784,2016.0096777853423,2072.4633954784,173.94166669999998,198.1416667
68,South Africa,113,116,4.6419999999999995,4.459,318000000000.0,295000000000.0,55291225.0,56015473.0,5751.364705701492,5266.40201717122,5751.364705701492,5266.40201717122,91.74166667,97.79166667
69,Ghana,114,124,4.633,4.276,37543361204.0,42689783734.0,27582821.0,28206728.0,1361.1139050643153,1513.461034331951,1361.1139050643153,1513.461034331951,151.0185333,177.37826669999998
