,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
23,Germany,26,6.75,16,6.994,3380.0,3480.0,81686.61,82487.84,41.37765051089769,42.188036442704764,53,2829916057119.76,2907015813062.02,34643573.250496745,35241749.73016653,123.8725,127.34166670000002,123.8725,127.34166670000002,123.8725,127.34166670000002,123.8725,127.34166670000002,123.8725,127.34166670000002
24,Chile,27,6.67,24,6.705,243.0,247.0,17762.68,17909.75,13.680368052568644,13.791370622147154,37,140833083338237.0,143889045245586.0,7928594296.482119,8034118022.059828,108.45833329999999,112.65,108.45833329999999,112.65,108.45833329999999,112.65,108.45833329999999,112.65,108.45833329999999,112.65
25,Qatar,28,6.611000000000001,36,6.375,165.0,152.0,2481.54,2569.8,66.49096931743998,59.14857187329753,198,581097445297.291,,234168075.1860905,,119.2275,121.12916670000001,119.2275,121.12916670000001,119.2275,121.12916670000001,119.2275,121.12916670000001,119.2275,121.12916670000001
26,France,29,6.575,32,6.478,2430.0,2470.0,66624.07,66892.2,36.47330461798566,36.92508244608489,75,2114123822329.48,2144629240514.21,31732132.581054863,32060976.324806333,107.35833329999998,107.22083329999998,107.35833329999998,107.22083329999998,107.35833329999998,107.22083329999998,107.35833329999998,107.22083329999998,107.35833329999998,107.22083329999998
27,Argentina,30,6.574,26,6.65,585.0,545.0,43417.76,43847.43,13.473748991196228,12.429462798617845,7,748006243955.723,739601651707.802,17228116.88018274,16867616.909538414,105.7244371,108.23,105.7244371,108.23,105.7244371,108.23,105.7244371,108.23,105.7244371,108.23
28,Czech Republic,31,6.505,27,6.596,187.0,195.0,10546.06,10566.33,17.731740574204963,18.454846668616256,52,4338574613813.33,4490172208468.42,411392938.5773768,424950972.42547035,142.7956695,153.1679636,142.7956695,153.1679636,142.7956695,153.1679636,142.7956695,153.1679636,142.7956695,153.1679636
29,Uruguay,32,6.485,29,6.545,53.27,52.42,3431.55,3444.01,15.523597208258659,15.220629440681066,248,705381191085.7809,728110547975.888,205557602.56612343,211413598.6759295,151.0185333,177.37826669999998,151.0185333,177.37826669999998,151.0185333,177.37826669999998,151.0185333,177.37826669999998,151.0185333,177.37826669999998
30,Colombia,33,6.477,31,6.481,292.0,282.0,48228.7,48653.42,6.05448622915401,5.796098198235602,43,543796931528407.0,553455166271422.0,11275380251.352556,11375462737.694946,114.664725,117.11273329999999,114.664725,117.11273329999999,114.664725,117.11273329999999,114.664725,117.11273329999999,114.664725,117.11273329999999
31,Thailand,34,6.455,33,6.474,399.0,407.0,68657.6,68863.51,5.811446948334925,5.91024186829861,231,10066466492946.1,10569009024770.3,146618385.91716138,153477640.40447983,154.1426142,122.4876232,154.1426142,122.4876232,154.1426142,122.4876232,154.1426142,122.4876232,154.1426142,122.4876232
32,Saudi Arabia,35,6.4110000000000005,34,6.379,652.0,646.0,31557.14,32275.69,20.66093441927881,20.015063969197872,203,2153502186242.67,2119572272456.72,68241361.10695298,65670858.5457575,99.53395157,99.51671948,99.53395157,99.51671948,99.53395157,99.51671948,99.53395157,99.51671948,99.53395157,99.51671948
33,Spain,36,6.329,37,6.361000000000001,1200.0,1240.0,46444.83,46484.53,25.837106089095382,26.675541303741266,68,1056422302482.5,1092410836277.17,22745745.92010564,23500524.503037248,172.6533333,183.69916669999998,172.6533333,183.69916669999998,172.6533333,183.69916669999998,172.6533333,183.69916669999998,172.6533333,183.69916669999998
34,Malta,37,6.3020000000000005,30,6.4879999999999995,10.29,11.0,431.87,437.42,23.826614490471666,25.147455534726348,157,8438663582.675429,8944212022.37962,19539823.517899897,20447652.193268757,103.6805833,102.5513667,103.6805833,102.5513667,103.6805833,102.5513667,103.6805833,102.5513667,103.6805833,102.5513667
